epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.39733,1.668,3.66083,3.88808,1.53341,0,0.00444,0.5,0.00499,0.0022,0.00298,0.33333,0.00709,0.00182,2.50262,4.35235,4.28081,1.63611,0,0.00015,5e-05,0.00015,5e-05,0.00015,5e-05,0.00015,5e-05
2,6.77234,1.88121,4.09881,4.01881,1.72462,0,0.00446,0.5,0.00505,0.00218,0.00299,0.33333,0.0119,0.00223,2.46191,4.33708,4.27595,1.62016,0,0.000170437,5.68125e-05,0.000170437,5.68125e-05,0.000170437,5.68125e-05,0.000170437,5.68125e-05
